날짜,대분류,소분류,20M,20F,30M,30F,40M,40F,50M,50F,60M,60F
2019-07-01,냉난방가전,이동형 에어컨,2,4,12,14,17,16,7,6,1,4
2019-07-01,식품,이온음료,8,20,33,61,44,32,14,9,4,3
2019-07-01,식품,인삼/수삼/산삼,,5,9,6,9,12,5,7,3,3
2019-07-01,식품,인스턴트커피,35,79,166,255,240,252,156,119,80,50
2019-07-01,뷰티,입욕제,5,3,6,18,4,6,2,1,1,1
2019-07-01,냉난방가전,자연식 가습기,,,1,1,,1,,,,
2019-07-01,식품,잡곡,4,22,20,52,21,66,18,28,9,14
2019-07-01,식품,잡곡 씨드류,1,5,2,3,8,3,4,2,2,2
2019-07-01,식품,장어,3,6,5,24,16,37,7,36,4,13
2019-07-01,식품,장조림/카레용 돈육,,3,3,3,,1,,1,,
2019-07-01,식품,저/무지방우유,1,11,19,32,18,27,3,9,5,1
2019-07-01,냉난방가전,전기온수기,,2,4,1,2,,,2,,1
2019-07-01,냉난방가전,전기장판,,,,,1,,4,3,,
2019-07-01,식품,전복 생물,4,4,8,40,29,46,16,43,7,17
2019-07-01,식품,전통주,4,,2,3,2,,,3,,
2019-07-01,식품,전통차,2,10,9,21,10,39,10,18,6,2
2019-07-01,식품,절임배추/김치속,,,1,1,,1,1,3,,1
2019-07-01,식품,젓갈류,4,9,17,19,24,36,7,18,5,2
2019-07-01,냉난방가전,제습기,12,24,31,39,35,37,18,32,4,5
2019-07-01,식품,조개,3,17,14,41,15,39,1,20,2,1
2019-07-01,식품,주꾸미,7,26,18,56,10,30,4,4,,2
2019-07-01,냉난방가전,중대형 에어컨,,,,,,1,,,,
2019-07-01,식품,차 선물세트,1,11,4,10,1,13,3,2,,
2019-07-01,식품,차/곡물 음료,2,10,18,14,18,22,5,6,3,
2019-07-01,식품,참외/메론/수박,13,47,51,144,86,165,45,107,14,29
2019-07-01,냉난방가전,천장형 에어컨,,,3,,2,,,,,
2019-07-01,식품,초유 영양제,,,5,3,1,,,,,
2019-07-01,냉난방가전,초음파식 가습기,,,3,4,1,1,1,1,1,
2019-07-01,식품,초코우유,9,18,3,17,4,23,5,4,3,1
2019-07-01,식품,카페 푸드,50,170,114,234,71,151,20,32,8,4
2019-07-01,식품,카페용 초콜릿시럽,,1,2,5,2,3,2,2,2,
2019-07-01,식품,칼슘/철분 영양제,12,28,48,79,33,57,12,32,8,10
2019-07-01,식품,캡슐/POD커피,8,20,22,73,37,50,17,16,5,4
2019-07-01,식품,커피용 프림,,,,1,,1,,,,1
2019-07-01,식품,커피음료,149,414,265,599,190,312,57,67,15,15
2019-07-01,냉난방가전,컨벡터,,,,,,,1,,,
2019-07-01,식품,코코아/핫초코,8,8,9,10,7,15,5,3,,
2019-07-01,식품,콜라겐/코큐텐 영양제,7,12,17,63,37,96,23,71,9,13
2019-07-01,식품,콩나물/숙주,,2,5,23,9,23,3,4,,4
2019-07-01,뷰티,클렌징 로션,3,8,3,13,6,10,3,4,1,
2019-07-01,뷰티,클렌징 오일,18,74,16,140,18,85,6,14,2,4
2019-07-01,뷰티,클렌징 워터/젤,2,60,13,51,15,28,2,15,1,1
2019-07-01,뷰티,클렌징 크림,,11,3,9,2,7,1,4,,1
2019-07-01,뷰티,클렌징 티슈,2,16,11,27,8,18,6,5,1,
2019-07-01,뷰티,클렌징 폼,52,127,101,178,70,150,18,69,8,3
2019-07-01,식품,클로렐라 영양제,1,2,,1,2,1,1,,,
2019-07-01,식품,키위/참다래,,11,8,44,27,47,14,22,5,4
2019-07-01,냉난방가전,탁상/USB 선풍기,6,12,22,18,19,20,13,9,6,2
2019-07-01,식품,탄산수,15,41,94,151,88,111,20,29,4,7
2019-07-01,식품,탄산음료,43,51,116,127,98,124,48,47,10,12
2019-07-01,뷰티,태닝용 선크림,,3,2,1,2,2,,,,
2019-07-01,식품,토마토,6,25,33,86,48,73,18,43,11,14
2019-07-01,뷰티,트리트먼트,18,93,44,123,43,122,14,66,4,16
2019-07-01,식품,파/양파,2,14,28,67,38,76,21,24,6,15
2019-07-01,식품,파김치,2,1,1,7,1,6,,2,1,
2019-07-01,뷰티,팩도구,,3,1,4,4,1,,,,
2019-07-01,식품,포도/거봉/체리,,2,1,4,4,8,,1,,1
2019-07-01,식품,표고버섯,,1,3,11,8,6,,2,2,2
2019-07-01,뷰티,풋스프레이,,2,1,2,,1,,,,1
2019-07-01,뷰티,풋워시/스크럽,1,1,1,3,2,4,4,,1,
2019-07-01,뷰티,풋크림,3,5,9,15,6,6,1,1,,
2019-07-01,뷰티,풋패치,4,20,10,34,8,18,6,2,2,1
2019-07-01,식품,프라페/버블티 파우더,1,14,7,14,8,12,5,7,,1
2019-07-01,식품,프로바이오틱스,22,76,94,225,111,229,64,105,22,19
2019-07-01,식품,프로폴리스/로얄젤리,4,18,17,74,26,42,9,16,6,5
2019-07-01,식품,한방 분말/환제품,9,32,39,95,48,106,58,55,19,27
2019-07-01,식품,한방재료,2,1,5,9,11,16,6,9,5,3
2019-07-01,식품,한우육,1,6,9,33,18,40,19,29,15,6
2019-07-01,식품,해조류 다시마,,,,9,4,14,1,2,1,1
2019-07-01,식품,해조류 미역,2,5,13,17,11,20,5,12,3,4
2019-07-01,식품,해초류 ,,,6,6,1,5,,1,,
2019-07-01,뷰티,핸드워시/스크럽,3,16,15,47,21,34,7,13,2,3
2019-07-01,뷰티,핸드크림,11,32,8,34,14,22,6,5,1,3
2019-07-01,식품,허브차,9,38,21,51,28,49,13,21,1,5
2019-07-01,식품,헛개/가시오가피,,,1,1,1,,,,,
2019-07-01,뷰티,헤어 브러쉬,4,22,10,36,13,17,5,4,,
2019-07-01,뷰티,헤어매니큐어,3,4,,4,4,2,,2,,
2019-07-01,뷰티,헤어무스,2,,,,,,3,,,
2019-07-01,뷰티,헤어스타일링용 염색약,6,51,22,78,53,71,33,55,6,9
2019-07-01,뷰티,헤어스타일링용 펌제,8,21,6,30,8,14,,4,,3
2019-07-01,뷰티,헤어스타일링용 흑채,,4,6,6,8,9,3,7,1,2
2019-07-01,뷰티,헤어스프레이,6,11,19,23,8,14,,15,5,5
2019-07-01,뷰티,헤어에센스,16,60,49,116,51,103,27,48,5,7
2019-07-01,뷰티,헤어왁스,14,6,20,16,15,10,6,2,,1
2019-07-01,뷰티,헤어젤,,1,,,6,6,1,4,1,1
2019-07-01,뷰티,헤어케어세트,1,5,1,7,3,6,5,6,,
2019-07-01,식품,호박,,16,10,47,9,36,6,8,3,7
2019-07-01,식품,혼합견과,1,7,5,18,10,20,5,7,2,1
2019-07-01,식품,혼합곡,,,1,,,,,1,,
2019-07-01,식품,홍삼 간식,,1,3,2,1,2,1,2,1,
2019-07-01,식품,홍삼 분말/환,1,,1,7,1,4,,9,,3
2019-07-01,식품,홍삼 음료,,1,1,1,2,1,1,,,
2019-07-01,식품,홍삼/인삼 제품,3,1,13,15,14,29,4,7,2,2
2019-07-01,식품,홍삼액/홍삼정,17,38,51,92,74,126,41,65,13,13
2019-07-01,식품,홍삼절편/홍삼정과,5,3,6,11,11,11,3,8,1,6
2019-07-01,식품,홍어,,,,,1,1,1,1,3,
2019-07-01,식품,홍차,3,8,9,11,3,11,2,2,2,1
2019-07-01,뷰티,화장 비누,10,30,27,77,54,75,26,47,16,8
2019-07-01,뷰티,화장 퍼프,16,77,24,77,20,55,14,9,3,2
2019-07-01,식품,환자식,1,3,7,16,9,35,10,31,3,6
2019-07-01,식품,회,143,282,171,257,130,180,45,31,11,17
2019-07-01,냉난방가전,휴대용 선풍기,23,45,35,75,45,41,14,12,3,8
2019-07-01,식품,흰우유,4,43,135,246,95,163,28,39,6,13
2019-07-01,냉난방가전,히터,,,2,1,3,3,1,,3,1
2019-07-02,식품,가공란,20,31,20,43,18,33,13,14,2,5
2019-07-02,식품,가자미,1,,1,2,4,9,,3,,
2019-07-02,식품,갈비/찜/바비큐용 돈육,,4,,4,2,3,,2,1,1
